PWM;Distancia;Onda;Voltaje
5;5;590;0.06
10;5;590;0.46
15;5;590;0.91
20;5;590;1.46
25;5;590;1.11
30;5;590;1.43
35;5;590;1.88
40;5;590;2.53
45;5;590;1.64
50;5;590;2.01
55;5;590;2.49
60;5;590;3.08
65;5;590;1.98
70;5;590;2.35
75;5;590;2.84
80;5;590;3.29
85;5;590;2.21
90;5;590;2.58
95;5;590;3.08
100;5;590;3.44
105;5;590;2.85
110;5;590;2.7
115;5;590;3.14
120;5;590;3.61
125;5;590;3.39
130;5;590;2.74
135;5;590;3.13
140;5;590;3.71
145;5;590;3.61
150;5;590;3.3
155;5;590;3.1
160;5;590;3.61
165;5;590;3.72
170;5;590;3.6
175;5;590;3.1
180;5;590;3.54
185;5;590;3.78
190;5;590;3.73
195;5;590;3.59
200;5;590;3.46
205;5;590;3.83
210;5;590;3.8
215;5;590;3.75
220;5;590;3.56
225;5;590;3.85
230;5;590;3.85
235;5;590;3.83
240;5;590;3.8
245;5;590;3.87
250;5;590;3.88
255;5;590;3.87
5;5;590;0.15
10;5;590;0.5
15;5;590;1.02
20;5;590;1.53
25;5;590;1.19
30;5;590;1.56
35;5;590;2.07
40;5;590;2.33
45;5;590;1.71
50;5;590;2.09
55;5;590;2.63
60;5;590;2.79
65;5;590;2.05
70;5;590;2.45
75;5;590;3.01
80;5;590;3.08
85;5;590;2.3
90;5;590;2.71
95;5;590;3.29
100;5;590;3.28
105;5;590;2.47
110;5;590;2.83
115;5;590;3.33
120;5;590;3.54
125;5;590;3.15
130;5;590;2.85
135;5;590;3.31
140;5;590;3.67
145;5;590;3.52
150;5;590;2.89
155;5;590;3.26
160;5;590;3.74
165;5;590;3.68
170;5;590;3.47
175;5;590;3.24
180;5;590;3.79
185;5;590;3.76
190;5;590;3.68
195;5;590;3.39
200;5;590;3.68
205;5;590;3.81
210;5;590;3.78
215;5;590;3.7
220;5;590;3.59
225;5;590;3.85
230;5;590;3.84
235;5;590;3.82
240;5;590;3.75
245;5;590;3.87
250;5;590;3.87
